"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Austria","1999","Articles of rare earths/metals nes","Import","362632","6033","Weight in kilograms","6033"
"Austria","1999","Articles of rare earths/metals nes","Export","850899","29091","Weight in kilograms","29091"
"Austria","1998","Articles of rare earths/metals nes","Export","404659","0","No Quantity","0"
"Austria","1998","Articles of rare earths/metals nes","Import","295404","5097","Weight in kilograms","5097"
"Austria","1997","Articles of rare earths/metals nes","Export","321341","0","No Quantity","0"
"Austria","1997","Articles of rare earths/metals nes","Import","225206","3461","Weight in kilograms","3461"
"Austria","1996","Articles of rare earths/metals nes","Export","281401","0","No Quantity","0"
"Austria","1996","Articles of rare earths/metals nes","Import","190211","5512","Weight in kilograms","5512"
"Austria","1995","Articles of rare earths/metals nes","Export","296417","0","No Quantity","0"
"Austria","1995","Articles of rare earths/metals nes","Import","199498","17823","Weight in kilograms","17823"
"Austria","1994","Articles of rare earths/metals nes","Import","245637","5522","Weight in kilograms","5522"
"Austria","1994","Articles of rare earths/metals nes","Export","303659","4803","Weight in kilograms","4803"
"Azerbaijan","2015","Articles of rare earths/metals nes","Import","3669.07","1","Weight in kilograms","1"
"Azerbaijan","2013","Articles of rare earths/metals nes","Import","1392","420","Weight in kilograms","420"
"Azerbaijan","2011","Articles of rare earths/metals nes","Import","651","20","Weight in kilograms","20"
"Azerbaijan","2008","Articles of rare earths/metals nes","Import","482","0","Weight in kilograms","0"
"Bahamas","2015","Articles of rare earths/metals nes","Import","1281","83","Weight in kilograms","83"
"Bahamas","2014","Articles of rare earths/metals nes","Import","991","106","Weight in kilograms","106"
"Bahamas","2013","Articles of rare earths/metals nes","Import","14310","1313","Weight in kilograms","1313"
"Bahamas","2013","Articles of rare earths/metals nes","Export","10000","1361","Weight in kilograms","1361"
"Bahamas","2013","Articles of rare earths/metals nes","Re-Export","10000","1361","Weight in kilograms","1361"
"Bahamas","2012","Articles of rare earths/metals nes","Import","209","20","Weight in kilograms","20"
"Bahamas","2011","Articles of rare earths/metals nes","Import","13215","1270","Weight in kilograms","1270"
"Bahamas","2010","Articles of rare earths/metals nes","Import","48725","4492","Weight in kilograms","4492"
"Bahamas","2009","Articles of rare earths/metals nes","Import","1213","114","Weight in kilograms","114"
"Bahamas","2009","Articles of rare earths/metals nes","Export","8000","2722","Weight in kilograms","2722"
"Bahamas","2009","Articles of rare earths/metals nes","Re-Export","8000","2722","Weight in kilograms","2722"
"Bahamas","2008","Articles of rare earths/metals nes","Import","1292","100","Weight in kilograms","100"
"Bahamas","2008","Articles of rare earths/metals nes","Export","15000","91","Weight in kilograms","91"
